protein_id,algorithm,time,score,checked,placed,hash
0,dfs_bnb,0.046552419662475586,-5,6,12092,"[-1, -1, 2, 2, 2, 2, 1, 1, -2, -2, -2, -1, 2, 2]"
1,dfs_bnb,0.03605794906616211,-5,6,7694,"[-1, -1, 2, 2, -1, -1, -1, -2, 1, 1, -2, -2, -1, 2]"
2,dfs_bnb,0.020491838455200195,-6,7,3777,"[-1, -1, 2, 2, 1, -2, 1, 1, 2, -1, 2, -1, -1, 2]"
3,dfs_bnb,0.007077455520629883,-5,6,1002,"[-1, -2, 1, 1, 2, 1, 2, -1, -1, 2, -1, -2, -1, 2]"
4,dfs_bnb,0.0974738597869873,-5,6,28799,"[-1, -1, 2, 2, 2, 1, 1, 1, -2, -2, -1, 2, -1, -2]"
5,dfs_bnb,0.06480860710144043,-5,6,14756,"[-1, -1, 2, -1, -2, -1, -1, -2, 1, 1, 1, 1, 1, 1]"
6,dfs_bnb,0.14745545387268066,-6,7,41092,"[-1, -1, 2, 1, 1, 2, 1, -2, -2, -2, -2, -1, 2, -1]"
7,dfs_bnb,0.051358938217163086,-7,8,12310,"[-1, -1, 2, 1, 2, 2, 1, -2, -2, 1, 2, 2, 2, -1]"
8,dfs_bnb,0.13459086418151855,-6,7,37589,"[-1, -1, 2, 2, 2, 2, 1, 1, -2, -2, -2, -1, 2, 2]"
9,dfs_bnb,0.0234529972076416,-6,7,4255,"[-1, -2, 1, 1, 1, 2, -1, 2, 2, -1, -2, -1, 2, 2]"
10,dfs_bnb,0.4135732650756836,-4,5,109707,"[-1, -2, -1, -1, -2, 1, 1, -2, 1, 1, 2, 2, -1, -2]"
11,dfs_bnb,0.027486085891723633,-2,3,6458,"[-1, -1, 2, 2, 2, 2, 2, 1, -2, 1, -2, -1, -2, 1]"
12,dfs_bnb,0.029472827911376953,-7,8,5742,"[-1, -1, 2, 2, 2, 1, 1, -2, -1, -2, 1, 1, 2, 2]"
13,dfs_bnb,0.11063671112060547,-5,6,29703,"[-1, -2, 1, 1, 2, 2, 1, -2, -2, -2, -1, -1, -2, 1]"
14,dfs_bnb,0.2609364986419678,-4,4,84342,"[-1, -2, 1, 1, -2, -1, -1, -1, 2, -1, 2, 1, 2, 1]"
15,dfs_bnb,0.022289514541625977,-6,7,6135,"[-1, -2, 1, -2, 1, 2, 2, 2, -1, 2, 2, -1, -2, -2]"
16,dfs_bnb,0.052687883377075195,-5,6,13274,"[-1, -1, 2, 2, 2, -1, -2, -1, -2, 1, -2, -2, -1, 2]"
17,dfs_bnb,0.144822359085083,-4,5,41980,"[-1, -1, 2, 2, 2, -1, -2, -1, -2, 1, -2, -1, -1, 2]"
18,dfs_bnb,0.17349886894226074,-5,6,51348,"[-1, -1, 2, -1, 2, 1, 2, 1, 2, 1, -2, -2, -1, -2]"
