protein_id,algorithm,time,score,checked,placed,hash
0,dfs_bnb,71.08320093154907,-12,13,20386443,"[-1, -1, -1, 2, 1, 1, 2, 1, -2, 1, -2, 1, 2, 1, -2, 1, -2, -1, -1, -1, -2, -1, 2, -1]"
1,dfs_bnb,2.0384342670440674,-8,9,673410,"[-1, -2, 1, 1, 2, 1, 2, 2, -1, -2, -1, 2, -1, 2, 2, 2, -1, -2, -2, -2, -1, -2, 1, 1]"
2,dfs_bnb,73.21847224235535,-13,14,17687956,"[-1, -2, -1, -1, 2, 1, 2, 1, 1, 2, -1, 2, -1, -2, -1, -2, -1, -2, -1, 2, 2, 1, 2, 1]"
3,dfs_bnb,5.061010837554932,-8,9,1555021,"[-1, -1, 2, 2, 1, -2, 1, 1, -2, 1, -2, -1, -1, -2, -1, 2, -1, -1, 2, -1, 2, 1, 2, 2]"
4,dfs_bnb,1.842087745666504,-9,10,579028,"[-1, -1, 2, 2, 2, -1, -2, -1, 2, -1, 2, 1, 2, 2, 1, -2, -2, 1, 1, -2, -2, 1, -2, -1]"
5,dfs_bnb,6.83644437789917,-7,8,1962090,"[-1, -1, 2, 2, -1, -1, 2, 2, -1, -2, -1, -2, 1, -2, -2, 1, 2, 1, -2, -2, 1, 1, 1, 1]"
6,dfs_bnb,41.21802043914795,-10,11,13100354,"[-1, -1, 2, 1, 1, 2, 2, -1, -2, -1, 2, -1, -2, -1, 2, -1, -2, -1, -2, 1, 1, -2, 1, 2]"
7,dfs_bnb,59.35775136947632,-10,11,17556328,"[-1, -1, 2, -1, 2, -1, -2, -2, 1, -2, -1, -1, -2, 1, 1, -2, 1, 2, 2, 1, -2, 1, -2, -1]"
8,dfs_bnb,7.137804985046387,-9,10,2065044,"[-1, -1, -1, 2, 2, -1, -2, -1, -1, -2, 1, 1, -2, 1, -2, 1, 2, 1, 1, -2, -1, -2, 1, 1]"
9,dfs_bnb,11.905359268188477,-12,13,3327366,"[-1, -1, 2, 2, 2, -1, -2, -2, -2, -2, -1, 2, 2, 2, 2, -1, -2, -1, -2, 1, -2, -2, -1, 2]"
10,dfs_bnb,76.49670195579529,-9,10,19564651,"[-1, -1, 2, 2, 2, 2, 1, 1, 2, 1, -2, 1, -2, 1, -2, -1, -1, 2, -1, -1, -2, -2, 1, 2]"
