protein_id,algorithm,time,score,checked,placed,hash
0,dfs_bnb,0.00031447410583496094,0,1,16,"[-1, -1, 2, 2, 2, 2, 2, 2, 2]"
1,dfs_bnb,0.007534980773925781,-2,3,1577,"[-1, -1, 2, 2, 2, 2, 1, -2, -2]"
2,dfs_bnb,0.0077457427978515625,-4,5,777,"[-1, -2, -1, -2, -2, 1, 2, 1, 2]"
3,dfs_bnb,0.004062175750732422,-2,3,320,"[-1, -1, 2, 2, 1, -2, 1, 2, 2]"
4,dfs_bnb,0.005501747131347656,-4,5,479,"[-1, -2, 1, 1, -2, -1, -1, -1, 2]"
5,dfs_bnb,0.0011339187622070312,-2,3,86,"[-1, -1, 2, -1, -2, -2, 1, 1, 1]"
6,dfs_bnb,0.0035932064056396484,-3,4,339,"[-1, -1, 2, 2, -1, -2, -1, -2, 1]"
7,dfs_bnb,0.007854700088500977,0,1,1575,"[-1, -1, 2, 2, 2, 2, 2, 2, 2]"
8,dfs_bnb,0.002979755401611328,-2,3,360,"[-1, -1, 2, -1, -1, -2, 1, -2, 1]"
9,dfs_bnb,0.00046944618225097656,-2,3,67,"[-1, -1, 2, 2, -1, -1, -2, 1, -2]"
10,dfs_bnb,0.003177642822265625,-4,4,788,"[-1, -1, 2, -1, 2, 1, 1, -2, 1]"
11,dfs_bnb,0.007794857025146484,-3,4,866,"[-1, -1, 2, 1, 1, 2, 1, -2, -2]"
12,dfs_bnb,0.004057407379150391,-4,4,863,"[-1, -1, 2, 2, 2, 1, -2, -2, 1]"
13,dfs_bnb,0.0002777576446533203,0,1,32,"[-1, -1, 2, 2, 2, 2, 2, 2, 2]"
14,dfs_bnb,0.0006937980651855469,-3,4,90,"[-1, -1, 2, 1, 2, 2, -1, -2, -1]"
15,dfs_bnb,0.008089065551757812,-3,4,882,"[-1, -1, 2, 1, 1, 2, 1, -2, -2]"
16,dfs_bnb,0.001024484634399414,-3,3,225,"[-1, -1, 2, 2, 2, 1, -2, -2, 1]"
17,dfs_bnb,0.0037546157836914062,-3,4,392,"[-1, -1, 2, 1, 2, 1, 1, -2, -1]"
18,dfs_bnb,0.004996538162231445,-4,5,508,"[-1, -2, 1, 1, 1, 2, 2, -1, -2]"
19,dfs_bnb,0.007355451583862305,-1,2,1576,"[-1, -1, 2, 2, 2, 1, -2, -2, 1]"
20,dfs_bnb,0.0005102157592773438,-2,3,113,"[-1, -1, 2, 1, 1, 2, 1, -2, 1]"
21,dfs_bnb,0.0013921260833740234,-4,5,334,"[-1, -1, 2, 2, 1, -2, 1, 1, -2]"
22,dfs_bnb,0.003391265869140625,-4,4,710,"[-1, -1, 2, 2, 2, 1, -2, -2, 1]"
23,dfs_bnb,0.001165628433227539,-3,4,247,"[-1, -1, 2, -1, -2, -2, 1, 1, 1]"
24,dfs_bnb,0.0020630359649658203,-2,3,185,"[-1, -2, -1, -2, 1, 1, 2, 1, 2]"
25,dfs_bnb,0.008213520050048828,-2,3,1577,"[-1, -1, 2, -1, -2, -1, -2, 1, 1]"
26,dfs_bnb,0.0011076927185058594,-2,3,95,"[-1, -1, 2, 1, 2, 1, -2, 1, 2]"
27,dfs_bnb,0.0013065338134765625,-3,4,295,"[-1, -2, 1, 1, -2, -1, -1, -1, 2]"
28,dfs_bnb,0.004510641098022461,-3,4,1236,"[-1, -2, -1, -1, -2, 1, 1, 1, 2]"
29,dfs_bnb,0.011018753051757812,-3,4,948,"[-1, -1, 2, 2, -1, -1, -2, 1, -2]"
30,dfs_bnb,0.0027837753295898438,-3,3,244,"[-1, -1, 2, 2, 1, -2, 1, 2, 2]"
31,dfs_bnb,0.0038492679595947266,-4,5,794,"[-1, -2, 1, 1, -2, -1, -1, -1, 2]"
32,dfs_bnb,0.008281230926513672,-3,4,903,"[-1, -1, 2, 1, 1, 2, 1, -2, -2]"
33,dfs_bnb,0.0004801750183105469,0,1,79,"[-1, -1, 2, 2, 2, 2, 2, 2, 2]"
34,dfs_bnb,0.005525112152099609,-2,3,1577,"[-1, -2, 1, 1, 2, 2, 2, -1, -2]"
35,dfs_bnb,0.0034036636352539062,-3,4,685,"[-1, -1, 2, -1, 2, -1, -2, -2, 1]"
36,dfs_bnb,0.001405954360961914,-3,4,293,"[-1, -1, 2, 1, 1, 1, 1, -2, -1]"
37,dfs_bnb,0.0016984939575195312,-3,3,228,"[-1, -1, 2, -1, 2, 1, 1, -2, 1]"
38,dfs_bnb,0.00013256072998046875,-2,3,34,"[-1, -2, 1, 1, 2, 2, 2, 2, 2]"
39,dfs_bnb,0.002640962600708008,-2,3,222,"[-1, -1, 2, 2, 1, -2, 1, 2, 2]"
40,dfs_bnb,0.00012183189392089844,0,1,32,"[-1, -1, 2, 2, 2, 2, 2, 2, 2]"
41,dfs_bnb,0.0005955696105957031,-2,2,43,"[-1, -1, 2, 2, 1, -2, 1, 2, 2]"
42,dfs_bnb,0.0035657882690429688,-4,5,782,"[-1, -1, 2, 1, 2, 2, 1, -2, -2]"
43,dfs_bnb,0.0006051063537597656,-2,3,128,"[-1, -1, 2, 2, -1, -2, -2, -1, 2]"
44,dfs_bnb,0.0011649131774902344,-1,2,213,"[-1, -1, 2, 2, 1, -2, 1, 2, 2]"
45,dfs_bnb,0.0037584304809570312,0,1,576,"[-1, -1, 2, 2, 2, 2, 2, 2, 2]"
46,dfs_bnb,0.0003991127014160156,-3,4,96,"[-1, -1, 2, 1, 2, 1, -2, 1, 2]"
47,dfs_bnb,0.00013518333435058594,-1,2,22,"[-1, -1, 2, 1, 2, 2, 2, 2, 2]"
48,dfs_bnb,0.0077207088470458984,-2,3,1577,"[-1, -1, 2, 2, 2, 1, 1, -2, -1]"
49,dfs_bnb,0.001428365707397461,-3,4,302,"[-1, -2, -1, -2, 1, 1, 2, 1, 2]"
50,dfs_bnb,0.0014526844024658203,-3,4,392,"[-1, -1, 2, 1, 2, 1, 1, -2, -1]"
51,dfs_bnb,0.006566524505615234,-2,3,1577,"[-1, -2, -1, -1, -2, 1, 1, 1, 2]"
52,dfs_bnb,0.0011599063873291016,-3,3,98,"[-1, -1, 2, 2, 1, -2, 1, 2, 2]"
53,dfs_bnb,0.013261079788208008,-1,2,1576,"[-1, -1, 2, 2, 2, -1, -2, -2, -2]"
